;network;architecture;learning_rate;dropout;batch_size;accuracy;precision;recall;f1-score
27;dnn;l2_128_128_relu;0.01;0.2;40;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
28;dnn;l2_128_256_relu;0.01;0.2;40;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
29;dnn;l2_128_512_relu;0.01;0.2;40;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
30;dnn;l2_256_128_relu;0.01;0.2;40;9.090909090909092;0.010252904989747002;0.09090909090909001;0.018181818181818
31;dnn;l2_256_256_relu;0.01;0.2;40;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
32;dnn;l2_256_512_relu;0.01;0.2;40;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
33;dnn;l2_512_128_relu;0.01;0.2;40;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
34;dnn;l2_512_256_relu;0.01;0.2;40;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
35;dnn;l2_512_512_relu;0.01;0.2;40;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
36;dnn;l1_128_relu;0.01;0.5;10;9.090909090909092;0.021324354657687002;0.09090909090909001;0.032467532467532
37;dnn;l1_256_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
38;dnn;l1_512_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
39;dnn;l2_128_128_relu;0.01;0.5;10;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
40;dnn;l2_128_256_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
41;dnn;l2_128_512_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
42;dnn;l2_256_128_relu;0.01;0.5;10;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
43;dnn;l2_256_256_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
44;dnn;l2_256_512_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
45;dnn;l2_512_128_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
46;dnn;l2_512_256_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
47;dnn;l2_512_512_relu;0.01;0.5;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
48;dnn;l1_128_relu;0.01;0.5;20;9.090909090909092;0.010252904989747002;0.09090909090909001;0.018181818181818
49;dnn;l1_256_relu;0.01;0.5;20;12.121212121212121;0.042727272727272;0.12121212121212101;0.055598722265388006
50;dnn;l1_512_relu;0.01;0.5;20;15.151515151515152;0.022956841138659003;0.15151515151515102;0.039872408293460004
51;dnn;l2_128_128_relu;0.01;0.5;20;9.090909090909092;0.008754208754208001;0.09090909090909001;0.015909090909090002
52;dnn;l2_128_256_relu;0.01;0.5;20;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
53;dnn;l2_128_512_relu;0.01;0.5;20;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
